# Pin Out For CertusPro-NX 100K,,,,,,,,,,,,,
# Revision 0.9,,,,,,,,,,,,,
"# Revised Mar, 8, 2021",,,,,,,,,,,,,
# Revision 0.91,,,,,,,,,,,,,
"# Revised Apr, 8, 2021",,,,,,,,,,,,,
# Add ASG256 Package,,,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,,,
"# Revised Aug, 11, 2021",,,,,,,,,,,,,
# Add CBG256 and BFG484 Package,,,,,,,,,,,,,
,,,,,,,,,,,,,
PADN,Pin/Ball Funcion,CUST_NAME,BANK, Dual Function,LVDS,HIGHSPEED,DQS,BBG484,LFG672,ASG256,CBG256,BFG484,
326,PB50B,-,4,-,Comp_OF_PB50A,TRUE,BDQ54,Y7,AE23,K10,L10,Y7,
331,PB52B,-,4,PCLKC4_0,Comp_OF_PB52A,TRUE,BDQ54,U7,AE21,R9,R10,U7,
334,PB54A,-,4,-,True_OF_PB54B,TRUE,BDQS54,AB7,AF22,T10,T10,AB7,
339,PB54B,-,4,-,Comp_OF_PB54A,TRUE,BDQSN54,AB8,AF23,R10,T9,AB8,
341,PB56A,-,4,-,True_OF_PB56B,TRUE,BDQ54,T8,AD20,M10,R9,U8,
343,PB58A,-,4,PCLKT4_1,True_OF_PB58B,TRUE,BDQ54,AA7,AB19,K9,N9,AA7,
344,PB56B,-,4,-,Comp_OF_PB56A,TRUE,BDQ54,U8,AC19,L10,P9,T8,
346,PB58B,-,4,PCLKC4_1,Comp_OF_PB58A,TRUE,BDQ54,Y8,AB18,L9,M9,Y8,
347,PB60A,-,4,-,True_OF_PB60B,TRUE,BDQ54,W8,Y18,P9,L9,W8,
349,PB60B,-,4,-,Comp_OF_PB60A,TRUE,BDQ54,V8,AA18,P10,K9,V8,
351,PB62A,-,4,-,True_OF_PB62B,TRUE,BDQ66,AA8,W17,-,-,AA8,
355,PB64A,-,4,-,True_OF_PB64B,TRUE,BDQ66,U9,AF19,-,-,U9,
356,PB62B,-,4,-,Comp_OF_PB62A,TRUE,BDQ66,AA9,W18,-,-,AA9,
360,PB66A,-,4,-,True_OF_PB66B,TRUE,BDQS66,AB9,AF21,-,-,AB9,
361,PB64B,-,4,-,Comp_OF_PB64A,TRUE,BDQ66,T9,AE19,-,-,T9,
364,PB66B,-,4,-,Comp_OF_PB66A,TRUE,BDQSN66,AB10,AF20,-,-,AB10,
365,PB80A,-,4,-,True_OF_PB80B,TRUE,BDQ66,U10,AC18,-,-,U10,
369,PB80B,-,4,-,Comp_OF_PB80A,TRUE,BDQ66,T10,AD18,-,-,T10,
371,PB82A,-,4,-,True_OF_PB82B,TRUE,BDQ66,AA10,AA17,-,-,AA10,
376,PB82B,-,4,-,Comp_OF_PB82A,TRUE,BDQ66,Y10,Y17,-,-,Y10,
377,PB84A,-,4,-,True_OF_PB84B,TRUE,BDQ66,W10,Y16,-,-,W10,
379,PB86A,-,4,-,True_OF_PB86B,TRUE,BDQ90,U11,AB15,-,-,V10,
380,PB84B,-,4,-,Comp_OF_PB84A,TRUE,BDQ66,V10,W16,-,-,W11,
382,PB86B,-,4,-,Comp_OF_PB86A,TRUE,BDQ90,V11,AC15,-,-,V11,
383,PB88A,-,4,-,True_OF_PB88B,TRUE,BDQ90,Y11,AD15,-,-,Y11,
385,PB88B,-,4,-,Comp_OF_PB88A,TRUE,BDQ90,W11,AE15,-,-,Y12,
388,PB90A,-,4,-,True_OF_PB90B,TRUE,BDQS90,AB11,AF15,-,-,AB11,
392,PB90B,-,4,-,Comp_OF_PB90A,TRUE,BDQSN90,AB12,AF16,-,-,AB12,
393,PB92A,-,4,-,True_OF_PB92B,TRUE,BDQ90,AA11,W15,-,-,AA11,
397,PB92B,-,4,-,Comp_OF_PB92A,TRUE,BDQ90,AA12,W14,-,-,AA12,
398,PB94A,-,4,-,True_OF_PB94B,TRUE,BDQ90,AB13,Y14,-,-,AB13,
400,PB94B,-,4,-,Comp_OF_PB94A,TRUE,BDQ90,AA13,AA14,-,-,AA13,
401,PB96A,-,4,-,True_OF_PB96B,TRUE,BDQ90,Y13,AD14,-,-,W13,
405,PB96B,-,4,-,Comp_OF_PB96A,TRUE,BDQ90,W13,AE14,-,-,Y13,
407,PB98A,-,4,ADC_CP5,True_OF_PB98B,TRUE,BDQ102,V14,W13,L8,L7,V14,
413,PB98B,-,4,ADC_CN5,Comp_OF_PB98A,TRUE,BDQ102,W14,Y13,L7,M7,W14,
414,PB100A,-,4,PCLKT4_2/ADC_CP7,True_OF_PB100B,TRUE,BDQ102,U12,AA13,K8,P8,U12,
420,PB102A,-,4,ADC_CP6,True_OF_PB102B,TRUE,BDQS102,AB14,AF14,R8,T8,AB14,
421,PB100B,-,4,PCLKC4_2/ADC_CN7,Comp_OF_PB100A,TRUE,BDQ102,T12,AB13,K7,R8,T12,
424,PB102B,-,4,ADC_CN6,Comp_OF_PB102A,TRUE,BDQSN102,AB15,AF13,T8,T7,AB15,
425,PB104A,-,4,ADC_CP9,True_OF_PB104B,TRUE,BDQ102,V13,AC13,T7,M6,V13,
427,PB104B,-,4,ADC_CN9,Comp_OF_PB104A,TRUE,BDQ102,U13,AD13,R7,N6,U13,
429,PB106A,-,4,PCLKT4_3,True_OF_PB106B,TRUE,BDQ102,AA14,AE13,M7,P6,AA14,
431,PB106B,-,4,PCLKC4_3,Comp_OF_PB106A,TRUE,BDQ102,Y14,AE12,M6,R6,Y14,
432,PB108A,-,4,-,True_OF_PB108B,TRUE,BDQ102,U14,Y12,N7,T6,U14,
438,PB108B,-,4,VREF4_2,Comp_OF_PB108A,TRUE,BDQ102,T14,W12,N6,T5,T14,
449,PB110A,-,3,VREF3_1/ADC_CP10,True_OF_PB110B,TRUE,BDQ114,AB18,AA12,K6,R5,AB18,
454,PB112A,-,3,PCLKT3_0/ADC_CP4,True_OF_PB112B,TRUE,BDQ114,Y19,AC12,R6,N5,Y19,
456,PB110B,-,3,ADC_CN10,Comp_OF_PB110A,TRUE,BDQ114,AB19,AB12,K5,R4,AB19,
458,PB112B,-,3,PCLKC3_0/ADC_CN4,Comp_OF_PB112A,TRUE,BDQ114,Y18,AD12,T6,P5,Y18,
460,PB114A,-,3,COMP1IP,True_OF_PB114B,TRUE,BDQS114,AB21,AF12,R5,T3,AB21,
463,PB114B,-,3,COMP1IN,Comp_OF_PB114A,TRUE,BDQSN114,AB20,AF11,T5,T4,AB20,
464,PB116A,-,3,ADC_CP8,True_OF_PB116B,TRUE,BDQ114,W19,AD11,M5,M5,W19,
469,PB118A,-,3,PCLKT3_1/COMP2IP,True_OF_PB118B,TRUE,BDQ114,V19,AB11,L6,P3,V19,
470,PB116B,-,3,ADC_CN8,Comp_OF_PB116A,TRUE,BDQ114,W18,AE11,M4,N4,W18,
474,PB118B,-,3,PCLKC3_1/COMP2IN,Comp_OF_PB118A,TRUE,BDQ114,V18,AC11,L5,P4,V18,
475,PB120A,-,3,ADC_CP13,True_OF_PB120B,TRUE,BDQ114,AA18,Y11,N4,R2,AA18,
479,PB120B,-,3,ADC_CN13,Comp_OF_PB120A,TRUE,BDQ114,AA17,AA11,N5,R3,AA17,
481,PB122A,-,3,-,True_OF_PB122B,TRUE,BDQ126,AA15,W11,-,-,AA15,
488,PB124A,-,3,-,True_OF_PB124B,TRUE,BDQ126,Y15,Y10,-,-,Y17,
489,PB122B,-,3,-,Comp_OF_PB122A,TRUE,BDQ126,AA16,W10,-,-,AA16,
493,PB126A,-,3,-,True_OF_PB126B,TRUE,BDQS126,AB16,AF10,-,-,AB16,
494,PB124B,-,3,-,Comp_OF_PB124A,TRUE,BDQ126,Y16,AA10,-,-,W17,
497,PB126B,-,3,-,Comp_OF_PB126A,TRUE,BDQSN126,AB17,AF9,-,-,AB17,
498,PB128A,-,3,-,True_OF_PB128B,TRUE,BDQ126,V15,AD10,-,-,Y15,
500,PB128B,-,3,-,Comp_OF_PB128A,TRUE,BDQ126,W15,AE10,-,-,Y16,
502,PB130A,-,3,-,True_OF_PB130B,TRUE,BDQ126,U15,AD9,-,-,V15,
504,PB130B,-,3,-,Comp_OF_PB130A,TRUE,BDQ126,T15,AE9,-,-,W15,
505,PB132A,-,3,-,True_OF_PB132B,TRUE,BDQ126,W16,AB9,-,-,W16,
507,PB134A,-,3,-,True_OF_PB134B,TRUE,BDQ138,T19,AC7,-,-,T19,
508,PB132B,-,3,-,Comp_OF_PB132A,TRUE,BDQ126,V16,AC9,-,-,V17,
511,PB134B,-,3,-,Comp_OF_PB134A,TRUE,BDQ138,U19,AB7,-,-,U19,
512,PB136A,-,3,-,True_OF_PB136B,TRUE,BDQ138,T16,AA7,-,-,U16,
517,PB136B,-,3,-,Comp_OF_PB136A,TRUE,BDQ138,U16,Y7,-,-,T16,
519,PB138A,-,3,-,True_OF_PB138B,TRUE,BDQS138,T22,AF6,-,-,T22,
526,PB138B,-,3,-,Comp_OF_PB138A,TRUE,BDQSN138,U22,AF5,-,-,U22,
527,PB140A,-,3,-,True_OF_PB140B,TRUE,BDQ138,T17,AD6,-,-,T17,
530,PB140B,-,3,-,Comp_OF_PB140A,TRUE,BDQ138,U17,AE6,-,-,U17,
531,PB142A,-,3,-,True_OF_PB142B,TRUE,BDQ138,T20,AB6,-,-,T20,
533,PB142B,-,3,-,Comp_OF_PB142A,TRUE,BDQ138,T21,AC6,-,-,T21,
534,PB144A,-,3,-,True_OF_PB144B,TRUE,BDQ138,T18,AD5,-,-,T18,
537,PB144B,-,3,-,Comp_OF_PB144A,TRUE,BDQ138,U18,AE5,-,-,U18,
539,PB146A,-,3,ADC_CP14,True_OF_PB146B,TRUE,BDQ150,AA19,Y6,L4,M3,AA19,
542,PB146B,-,3,ADC_CN14,Comp_OF_PB146A,TRUE,BDQ150,AA20,AA6,K4,N3,AA20,
543,PB148A,-,3,PCLKT3_2/COMP3IP,True_OF_PB148B,TRUE,BDQ150,W22,Y5,T4,N2,W22,
548,PB150A,-,3,ADC_CP11,True_OF_PB150B,TRUE,BDQS150,AA22,AF4,R3,P1,AA22,
549,PB148B,-,3,PCLKC3_2/COMP3IN,Comp_OF_PB148A,TRUE,BDQ150,W21,AA5,R4,P2,W21,
551,PB150B,-,3,ADC_CN11,Comp_OF_PB150A,TRUE,BDQSN150,Y22,AF3,T3,N1,Y22,
552,PB152A,-,3,ADC_CP12,True_OF_PB152B,TRUE,BDQ150,V22,AD4,R2,L4,V22,
556,PB152B,-,3,ADC_CN12,Comp_OF_PB152A,TRUE,BDQ150,V21,AE4,R1,M4,V21,
559,PB154A,-,3,PCLKT3_3/LRC_GPLL0T_MFGOUT1/ADC_CP15,True_OF_PB154B,TRUE,BDQ150,Y21,AB4,N3,L3,Y21,
564,PB154B,-,3,PCLKC3_3/LRC_GPLL0T_MFGOUT2/ADC_CN15,Comp_OF_PB154A,TRUE,BDQ150,AA21,AC4,M3,L2,AA21,
565,PB156A,-,3,LRC_GPLL0T_IN/ATB_FORCE,True_OF_PB156B,TRUE,BDQ150,U20,AD3,L3,M2,U20,
